         8954 function calls (8718 primitive calls) in 3.403 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:50(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.003    0.003 Image.py:2158(save)
        3    0.000    0.000    0.000    0.000 Image.py:2651(_check_size)
        1    0.000    0.000    0.000    0.000 Image.py:2669(new)
        1    0.000    0.000    0.000    0.000 Image.py:269(_conv_type_shape)
        1    0.000    0.000    0.001    0.001 Image.py:2708(frombytes)
        1    0.000    0.000    0.001    0.001 Image.py:2746(frombuffer)
        1    0.000    0.000    0.001    0.001 Image.py:2799(fromarray)
        1    0.000    0.000    0.000    0.000 Image.py:2905(_decompression_bomb_check)
        1    0.000    0.000    0.020    0.020 Image.py:2925(open)
        1    0.000    0.000    0.000    0.000 Image.py:2990(_open_core)
        7    0.000    0.000    0.000    0.000 Image.py:3138(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3153(register_mime)
        7    0.000    0.000    0.000    0.000 Image.py:3164(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3175(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3187(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3198(register_extensions)
        2    0.000    0.000    0.020    0.010 Image.py:341(preinit)
        2    0.000    0.000    0.000    0.000 Image.py:413(_getdecoder)
        2    0.000    0.000    0.000    0.000 Image.py:436(_getencoder)
        3    0.000    0.000    0.000    0.000 Image.py:524(__init__)
        4    0.000    0.000    0.000    0.000 Image.py:537(__getattr__)
        9    0.000    0.000    0.000    0.000 Image.py:556(size)
        1    0.000    0.000    0.000    0.000 Image.py:560(_new)
        1    0.000    0.000    0.000    0.000 Image.py:622(_ensure_mutable)
        1    0.000    0.000    0.009    0.009 Image.py:684(__array__)
        1    0.000    0.000    0.000    0.000 Image.py:700(ArrayData)
        1    0.000    0.000    0.008    0.008 Image.py:720(tobytes)
        1    0.000    0.000    0.000    0.000 Image.py:788(frombytes)
        4    0.000    0.000    0.000    0.000 Image.py:814(load)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ImageFile.py:154(load)
        1    0.000    0.000    0.000    0.000 ImageFile.py:278(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:286(load_end)
        1    0.000    0.000    0.000    0.000 ImageFile.py:313(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:339(Parser)
        1    0.000    0.000    0.003    0.003 ImageFile.py:478(_save)
        8    0.000    0.000    0.000    0.000 ImageFile.py:544(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:576(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:587(PyDecoder)
        2    0.000    0.000    0.000    0.000 ImageFile.py:79(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:89(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:92(__init__)
        1    0.000    0.000    0.000    0.000 ImageOps.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.010    0.010 JpegImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:190(SOF)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:238(DQT)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:257(<listcomp>)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:331(_accept)
